Date_s,Open_s,High_s,Low_s,Close_s,AdjClose_s,Volume_s,Date_m,Open_m,High_m,Low_m,Close_m,AdjClose_m,Volume_m
4/21/2020,196,196,182,183,183,13348800,4/21/2020,4575.904785,4575.904785,4482.63916,4501.918945,4501.918945,42328500
4/22/2020,183,183,177,182,182,8551600,4/22/2020,4501.918945,4580.680176,4441.089844,4567.562012,4567.562012,48368900
4/23/2020,183,187,179,179,179,19096800,4/23/2020,4567.562012,4629.025879,4567.562012,4593.554199,4593.554199,49463700
4/24/2020,177,177,167,167,167,31516400,4/24/2020,4593.554199,4593.830078,4496.063965,4496.063965,4496.063965,46122600
4/27/2020,168,168,157,162,162,13003600,4/27/2020,4496.063965,4541.312012,4474.893066,4513.141113,4513.141113,36774700
4/28/2020,164,193,163,184,184,67487200,4/28/2020,4513.141113,4532.378906,4494.470215,4529.554199,4529.554199,45440500
4/29/2020,185,188,179,180,180,20967700,4/29/2020,4529.554199,4568.665039,4523.955078,4567.323242,4567.323242,41461800
4/30/2020,186,191,182,188,188,32721600,4/30/2020,4567.323242,4726.773926,4567.323242,4716.402832,4716.402832,60229700
5/4/2020,185,188,177,181,181,25689500,5/4/2020,4716.402832,4716.402832,4576.228027,4605.486816,4605.486816,39084200
5/5/2020,181,210,181,198,198,72208800,5/5/2020,4605.486816,4667.786133,4605.486816,4630.132813,4630.132813,47829500
5/6/2020,200,210,200,206,206,49666300,5/6/2020,4630.132813,4647.524902,4597.750977,4608.790039,4608.790039,45079300
5/8/2020,210,252,210,246,246,363243100,5/8/2020,4608.790039,4630.588867,4586.73877,4597.430176,4597.430176,47798700
5/11/2020,250,262,230,230,230,158468400,5/11/2020,4597.430176,4659.861816,4597.430176,4639.10498,4639.10498,45461000
5/12/2020,232,242,220,224,224,64387600,5/12/2020,4639.10498,4644.134766,4552.387207,4588.733887,4588.733887,46906900
5/13/2020,224,244,220,234,234,99021100,5/13/2020,4588.733887,4588.733887,4519.978027,4554.358887,4554.358887,45092300
5/14/2020,232,252,230,234,234,154846100,5/14/2020,4554.358887,4564.149902,4494.153809,4513.833984,4513.833984,47342600
5/15/2020,238,242,224,224,224,67191400,5/15/2020,4513.833984,4540.420898,4460.272949,4507.606934,4507.606934,46257200
5/18/2020,216,232,216,228,228,49462700,5/18/2020,4507.606934,4527.967773,4487.179199,4511.058105,4511.058105,45156900
5/19/2020,232,238,220,222,222,36781800,5/19/2020,4511.058105,4609.041992,4511.058105,4548.655762,4548.655762,51665300
5/20/2020,224,226,220,222,222,14357900,5/20/2020,4548.655762,4561.554199,4521.470215,4545.952148,4545.952148,42464800
5/26/2020,222,232,222,226,226,27684500,5/26/2020,4545.952148,4634.652832,4541.833984,4626.798828,4626.798828,53757500
5/27/2020,228,240,224,234,234,90431300,5/27/2020,4626.798828,4641.555176,4597.37207,4641.555176,4641.555176,60985400
5/28/2020,236,240,230,234,234,66797500,5/28/2020,4641.555176,4741.603027,4638.808105,4716.185059,4716.185059,68549600
5/29/2020,236,246,230,238,238,62084800,5/29/2020,4716.185059,4755.957031,4704.788086,4753.611816,4753.611816,104791300
6/2/2020,242,254,238,250,250,102089600,6/2/2020,4753.611816,4884.01123,4753.611816,4847.506836,4847.506836,73135500
6/3/2020,250,256,240,246,246,60975800,6/3/2020,4847.506836,4960.070801,4847.506836,4941.005859,4941.005859,101631500
6/4/2020,250,250,238,240,240,31079500,6/4/2020,4941.005859,5014.76416,4899.390137,4916.704102,4916.704102,110933800
6/5/2020,238,276,230,276,276,129864800,6/5/2020,4916.704102,4948.512207,4851.148926,4947.782227,4947.782227,86864800
6/8/2020,280,300,266,290,290,156030600,6/8/2020,4947.782227,5103.085938,4947.782227,5070.561035,5070.561035,138169200
6/9/2020,300,310,274,284,284,110021900,6/9/2020,5070.561035,5139.405762,5023.76709,5035.055176,5035.055176,115140600
6/10/2020,284,298,266,274,274,69365800,6/10/2020,5035.055176,5036.855957,4892.817871,4920.682129,4920.682129,84234700
6/11/2020,274,288,260,284,284,72332800,6/11/2020,4920.682129,4931.242188,4812.192871,4854.753906,4854.753906,71655200
6/12/2020,284,284,268,278,278,38560400,6/12/2020,4854.753906,4880.358887,4712.073242,4880.358887,4880.358887,80885000
6/15/2020,280,282,268,268,268,17366600,6/15/2020,4880.358887,4918.056152,4809.619141,4816.335938,4816.335938,64138400
6/16/2020,268,286,268,280,280,34166800,6/16/2020,4816.335938,4989.526855,4816.335938,4986.458008,4986.458008,75836700
6/17/2020,290,290,276,276,276,22667800,6/17/2020,4986.458008,5018.984863,4968.925781,4987.775879,4987.775879,68366200
6/18/2020,276,284,272,276,276,25838700,6/18/2020,4987.775879,4993.61377,4925.248047,4925.248047,4925.248047,70877500
6/19/2020,276,284,274,274,274,16847400,6/19/2020,4925.248047,4970.066895,4925.248047,4942.274902,4942.274902,57556700
6/22/2020,276,278,270,274,274,15252700,6/22/2020,4942.274902,4957.666016,4904.766113,4918.831055,4918.831055,47869800
6/23/2020,274,274,268,272,272,9093400,6/23/2020,4918.831055,4938.394043,4879.132813,4879.132813,4879.132813,54884300
6/24/2020,276,276,270,272,272,16771000,6/24/2020,4879.132813,4977.650879,4879.132813,4964.734863,4964.734863,62466500
6/25/2020,270,270,262,266,266,16163500,6/25/2020,4964.734863,4964.734863,4883.709961,4896.72998,4896.72998,50705900
6/26/2020,268,272,266,266,266,7502300,6/26/2020,4896.72998,4941.138184,4882.141113,4904.087891,4904.087891,44280300
6/29/2020,268,268,250,252,252,44109400,6/29/2020,4904.087891,4909.905762,4862.041016,4901.817871,4901.817871,44174500
6/30/2020,254,260,244,246,246,48370800,6/30/2020,4901.817871,4939.839844,4894.120117,4905.39209,4905.39209,51279100
7/1/2020,246,252,240,244,244,18436200,7/1/2020,4905.39209,4928.611816,4885.602051,4914.388184,4914.388184,43243400
7/2/2020,244,258,244,248,248,48141100,7/2/2020,4914.388184,4966.779785,4914.388184,4966.779785,4966.779785,55396200
7/3/2020,250,254,244,244,244,36877300,7/3/2020,4966.779785,4997.481934,4964.10791,4973.793945,4973.793945,55723400
7/6/2020,246,252,246,250,250,13443500,7/6/2020,4973.793945,5009.345215,4973.490234,4988.866211,4988.866211,64282100
